SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
COC(C#N)c2c1ccccc1cc3ccccc23,2,2,75.44,78,C-H
COCc2c1ccccc1c(C#N)c3ccccc23,2,2,73.11,73.7,C-H
c1ccc3c(c1)c2ccccc2C3N4CCCCC4,12,12,71.49,72,C-H
CC1CC(C)N1C4c2ccccc2c3ccccc34,6,6,63.9,72,C-H
CCC(C)C3c1ccccc1c2ccccc23,4,4,75.47,75.1,C-H
CC(C)(C)SC3c1ccccc1c2ccccc23,5,5,71.13,74.8,C-H
C3=C(Sc1ccccc1)c2ccccc2C3,15,15,74.47,80.2,C-H
c4ccc(C3c1ccccc1Cc2ccccc23)cc4,4,4,76.79,79,C-H
CCS(=O)(=O)C3c1ccccc1c2ccccc23,5,5,83.68,81.4,C-H
c4ccc(OC3c1ccccc1c2ccccc23)cc4,5,5,72.49,74.3,C-H
Cc3ccc(C(c1ccccc1)c2ccccc2)cc3,5,5,76.04,79.1,C-H
CC(C)N(C(C)C)C3c1ccccc1c2ccccc23,7,7,62.31,73,C-H
CN(c1ccccc1)C4c2ccccc2c3ccccc34,8,8,63.62,72.5,C-H
CC(C)S(=O)(=O)C3c1ccccc1c2ccccc23,6,6,82.41,81.1,C-H
Cc3ccc(C(c1ccccc1)c2ccc(C)cc2)cc3,5,5,75.97,80.3,C-H
c4ccc(SC3c1ccccc1c2ccccc23)cc4,5,5,73.55,74.8,C-H
COc3ccc(C(c1ccccc1)c2ccccc2)cc3,6,6,75.69,80.7,C-H
COc3cccc(C(c1ccccc1)c2ccccc2)c3,7,7,76.17,80,C-H
CC1(C)CC(C)(C)N1C4c2ccccc2c3ccccc34,8,8,65.63,71,C-H
CC1CCCC(C)N1C4c2ccccc2c3ccccc34,8,8,59.99,72,C-H
O=S(=O)(Cc2ccc1ccccc1c2)c3ccccc3,3,3,90.77,89,C-H
c4ccc(OCc2c1ccccc1cc3ccccc23)cc4,5,5,77.92,72.9,C-H
CN(C)c3ccc(C(c1ccccc1)c2ccccc2)cc3,7,7,75.12,80,C-H
O=C(Cc2c1ccccc1cc3ccccc23)c4ccccc4,2,2,82.62,84.2,C-H
Cc3c1ccccc1c(C(=O)c2ccccc2)c4ccccc34,0,0,81.72,82.3,C-H
CC(C)(c1ccccc1)C4c2ccccc2c3ccccc34,9,9,77.09,73.8,C-H
Cc3c1ccccc1c(Sc2ccccc2)c4ccccc34,0,0,81.44,80.8,C-H
c4ccc(SCc2c1ccccc1cc3ccccc23)cc4,5,5,80.69,81,C-H
CC1(C)CCCC(C)(C)N1C4c2ccccc2c3ccccc34,10,10,66.34,71,C-H
O=S(=O)(c1ccccc1)C4c2ccccc2c3ccccc34,9,9,84.95,81.9,C-H
O=S(=O)(c1ccccc1)c2ccc4c(c2)Cc3ccccc34,15,15,80.61,80,C-H
c4ccc(c3ccc(Cc2ccc(c1ccccc1)cc2)cc3)cc4,8,8,79.8,80,C-H
Fc4c(F)c(F)c(C3c1ccccc1c2ccccc23)c(F)c4F,7,7,78.51,78.2,C-H
O=S(=O)(Cc2c1ccccc1cc3ccccc23)c4ccccc4,3,3,89.5,84.7,C-H
c5ccc(C4(c1ccccc1)c2ccccc2Cc3ccccc34)cc5,17,17,79.37,84.9,C-H
COc3ccc(C(c1ccc(OC)cc1)c2ccc(OC)cc2)cc3,6,6,74.98,78.1,C-H
c5ccc(C3=C(c1ccccc1)C(c2ccccc2)c4ccccc34)cc5,12,12,71.03,75.8,C-H
C(=C(c1ccccc1)\c2ccccc2)/C(c3ccccc3)c4ccccc4,14,14,70.99,77,C-H
COC(=O)C3c1cc(Br)ccc1c2ccc(Br)cc23,4,4,75.3,76.5,C-H
O=S(=O)(c1ccc(Br)cc1)C4c2ccccc2c3ccccc34,10,10,85.21,82,C-H
c6ccc(C(c1ccccc1)(c2ccccc2)C5c3ccccc3c4ccccc45)cc6,17,17,77.11,77.2,C-H
