SMILES,id,qm,nmr,type
C1CCN(CC1)C,2,9.795963487226208,-0.8324138846568784,H
C=CC[N]C=S,1,8.34324662347985,0.6083367446956908,H
C=CC(C)(C)C,3,10.555679298253981,-1.3246703496856729,H
C(=O)(C)N(C)C,2,10.081232111838018,-0.9324660116952512,H
C1COCOC1,1,9.43177374480653,-0.15926317394270584,H
c1ccc(o1)C=O,1,8.129815426081592,0.8844806153215997,H
c1ccccn1,1,7.802124699605514,1.1690288646187321,H
C1=C[C@H]2C[C@@H]1C=C2,3,10.098361035986986,-0.9404701818583211,H
CC(C)(C)OC,5,9.656330738731455,-0.480230397481806,H
C(=C(\C)/C(C)C)\C,0,8.74957832180809,0.36500997173836813,H
c1scc(C)n1,2,7.998146826899093,1.0445640185829963,H
